regime,run,step,agent,n_known,gap_frac,rho_count,rho_bound,precision,recall,u_local
A6_obs005,5,2500,4,9311.0,0.005368,0.800395,-0.433128,0.3125,0.294118,17.090909
A6_obs005,5,2500,5,9468.0,0.005368,0.971733,-0.415579,0.533333,0.313725,8.877551
A6_obs005,6,1000,0,5284.0,0.104,0.425919,-0.300678,0.156863,0.048583,134.869942
A6_obs005,6,1000,1,7068.0,0.104,0.667875,-0.583618,0.268966,0.039474,60.0
A6_obs005,6,1000,2,7074.0,0.104,0.741393,-0.629977,0.330508,0.039474,51.514925
A6_obs005,6,1000,3,7074.0,0.104,0.741186,-0.629735,0.330508,0.039474,51.514925
A6_obs005,6,1000,4,7074.0,0.104,0.741186,-0.629735,0.330508,0.039474,51.514925
A6_obs005,6,1000,5,7074.0,0.104,0.741186,-0.629735,0.330508,0.039474,51.514925
A6_obs005,6,2500,0,9500.0,0.0,0.393811,-0.141041,0.0,0.0,1.0
A6_obs005,6,2500,1,9500.0,0.0,0.647423,-0.194491,0.0,0.0,1.0
A6_obs005,6,2500,2,9500.0,0.0,0.647464,-0.194493,0.0,0.0,1.0
A6_obs005,6,2500,3,9500.0,0.0,0.64999,-0.194135,0.0,0.0,1.0
A6_obs005,6,2500,4,9259.0,0.0,0.206816,-0.111119,0.0,0.0,19.463415
A6_obs005,6,2500,5,9281.0,0.0,0.29344,-0.158458,0.0,0.0,18.717391
A6_obs005,7,1000,0,8216.0,0.001789,0.473221,-0.51329,0.013201,0.235294,152.003322
A6_obs005,7,1000,1,9497.0,0.001789,0.833062,-0.511666,0.4,0.823529,7.531646
A6_obs005,7,1000,2,9497.0,0.001789,0.831031,-0.513735,0.4,0.823529,7.531646
A6_obs005,7,1000,3,8241.0,0.001789,0.477206,-0.528272,0.014035,0.235294,139.551724
A6_obs005,7,1000,4,9449.0,0.001789,0.803635,-0.499217,0.264151,0.823529,14.206186
A6_obs005,7,1000,5,9267.0,0.001789,0.624702,-0.459159,0.067797,0.705882,72.785047
A6_obs005,7,2500,0,9500.0,0.0,0.21581,-0.078274,0.0,0.0,1.0
A6_obs005,7,2500,1,9500.0,0.0,0.666737,-0.034316,0.0,0.0,1.0
A6_obs005,7,2500,2,9500.0,0.0,0.047077,-0.131511,0.0,0.0,3.333333
A6_obs005,7,2500,3,9500.0,0.0,0.666737,-0.041335,0.0,0.0,1.0
A6_obs005,7,2500,4,9500.0,0.0,0.21581,-0.078274,0.0,0.0,1.0
A6_obs005,7,2500,5,9500.0,0.0,0.666737,-0.034316,0.0,0.0,1.0
A6_obs005,8,1000,0,9091.0,0.028526,0.857617,-0.48604,0.384615,0.147601,45.777778
A6_obs005,8,1000,1,9091.0,0.028526,0.857392,-0.486255,0.384615,0.147601,45.777778
A6_obs005,8,1000,2,9091.0,0.028526,0.842727,-0.480288,0.377358,0.147601,46.375
A6_obs005,8,1000,3,9077.0,0.028526,0.652603,-0.394691,0.190476,0.103321,62.389535
A6_obs005,8,1000,4,9077.0,0.028526,0.653496,-0.394515,0.190476,0.103321,62.389535
A6_obs005,8,1000,5,8529.0,0.028526,0.518334,-0.415249,0.098712,0.084871,101.992453
A6_obs005,8,2500,0,9500.0,0.0,0.630175,-0.164736,0.0,0.0,1.0
A6_obs005,8,2500,1,9489.0,0.0,0.257835,-0.252808,0.0,0.0,14.763158
A6_obs005,8,2500,2,9500.0,0.0,0.630175,-0.164736,0.0,0.0,1.0
A6_obs005,8,2500,3,9269.0,0.0,0.187966,-0.276958,0.0,0.0,37.176471
A6_obs005,8,2500,4,9500.0,0.0,0.625003,-0.182811,0.0,0.0,1.0
A6_obs005,8,2500,5,9500.0,0.0,0.711042,-0.155499,0.0,0.0,1.0
A6_obs005,9,1000,0,8256.0,0.032,0.519372,-0.571869,0.152249,0.144737,166.464
A6_obs005,9,1000,1,8780.0,0.032,0.503946,-0.314396,0.250836,0.246711,134.189759
A6_obs005,9,1000,2,8780.0,0.032,0.504289,-0.315194,0.250836,0.246711,134.189759
A6_obs005,9,1000,3,8060.0,0.032,0.506163,-0.567618,0.127596,0.141447,209.688889
A6_obs005,9,1000,4,8060.0,0.032,0.504008,-0.57698,0.127596,0.141447,209.688889
A6_obs005,9,1000,5,8060.0,0.032,0.503838,-0.577035,0.127596,0.141447,209.688889
A6_obs005,9,2500,0,9475.0,0.002105,0.437458,-0.316056,0.115385,0.3,24.109091
